,Brewery_type,Brewery_name,State,Latitude,Longitude,Google_rating,Google_num_ratings,Yelp_rating,Yelp_num_ratings,Yelp_review_text,Overall_rating,Overall_num_ratings
118,Brewpub,Argilla Brewing Co Pietro's Pizza,DE,39.708324,-75.684372,4.3,234.0,3.5,140.0,First time trying pizza in Delaware and this place did not disappoint. I'm from NYC so I am very particular about pizza. My only request is they add a...,3.9,374.0
119,Brewpub,Arizona Wilderness Brewing,AZ,33.363014,-111.841144,4.7,1861.0,4.0,1497.0,Loved the variety of beers. My boyfriend and I each got a flight and loved them all. COVID set up made me feel safe and at ease. Bartender helped us kick...,4.35,3358.0
120,Brewpub,Armored Cow Brewing Co,NC,35.313553999999996,-80.753225,4.7,94.0,4.5,53.0,Awesome taproom space with excellent social distancing measures in place. Very good beers and food. Very good service and prices. A real neat place to meet...,4.6,147.0
121,Brewpub,Arrowhead Ales Brewing Company,IL,41.481398,-87.959046,4.5,250.0,4.0,124.0,"COVID considered!!!!!!
Let the young , ( I need a different, micro - brewed beer drinkers go here. Good luck w that crowd. 
Chef wants t be a hero and...",4.25,374.0
122,Brewpub,Artisan's Brewery & Italian Grill,NJ,39.977242,-74.18228,4.3,470.0,3.5,137.0,"We had lunch outdoors, on a windy but unusually warm October day.  Tables are spaced very well apart, waiters all wore face masks, and there was hand...",3.9,607.0
123,Brewpub,Arts District Brewing Company,CA,34.044678999999995,-118.235219,4.5,2692.0,4.0,1074.0,"I don't why I have never came here before.... before I start this review let's just say they have skeeball guys (unfortunately not open due to covid).

The...",4.25,3766.0
125,Brewpub,Ascendant Beer Company,OR,45.526202000000005,-122.675225,4.5,292.0,4.0,228.0,"I popped in (just mapped closest beer/brewery) after an errand. It was about 1:30 - little early for a brew, but it's my weekend.  Hmmm. I am familiar with...",4.25,520.0
126,Brewpub,Ascension Brewing Company,MI,42.478229999999996,-83.460888,4.5,511.0,4.0,263.0,"Small place, clean and great staff. Quick with a smile and to offer help. Kind of smells funny in the room at first but it's the stills, I think. 

Their...",4.25,774.0
128,Brewpub,Asheville Brewing Co,NC,35.591732,-82.555327,4.2,749.0,3.5,407.0,"We got into Asheville pretty late and this was one of the few places open and I'm so glad we ended up here!

Some people in our party had restrictive diets...",3.85,1156.0
129,Brewpub,Asian Brothers Brewing Company,CA,38.495519,-121.449118,4.3,51.0,4.5,29.0,"This place was a really great choice. Obviously things are a little different than they probably are normally, you know.... with the pandemic and all... but...",4.4,80.0
130,Brewpub,Assembly Brewing,OR,45.490888,-122.600398,4.6,587.0,4.0,193.0,"Assembly Brewing was a hard sell at first, but the more I went, the more I enjoyed visiting. I think it had to do with ordering at the bar, which I am not...",4.3,780.0
131,Brewpub,Astoria Brewing Company,OR,46.190169,-123.83141200000001,4.4,1578.0,3.5,494.0,"Good Covid protocols in place - thanks so much! 

Outdoor seating on the water with basic American fare. Nice views of the Columbia River. 

Not great with...",3.95,2072.0
132,Brewpub,Astoria Brewing Company,OR,46.190169,-123.83141200000001,4.4,1578.0,3.5,494.0,"Good Covid protocols in place - thanks so much! 

Outdoor seating on the water with basic American fare. Nice views of the Columbia River. 

Not great with...",3.95,2072.0
133,Brewpub,Astoria Brewing Company,OR,46.189896000000005,-123.830339,4.4,1578.0,3.5,494.0,"Good Covid protocols in place - thanks so much! 

Outdoor seating on the water with basic American fare. Nice views of the Columbia River. 

Not great with...",3.95,2072.0
134,Brewpub,Astoria Brewing Company,OR,46.189896000000005,-123.830339,4.4,1578.0,3.5,494.0,"Good Covid protocols in place - thanks so much! 

Outdoor seating on the water with basic American fare. Nice views of the Columbia River. 

Not great with...",3.95,2072.0
137,Brewpub,Atomic Ale Brewpub and Eatery,WA,46.274466,-119.277359,4.4,770.0,3.5,273.0,Na,3.95,1043.0
139,Brewpub,Atwater Grand Rapids,MI,42.970754,-85.672667,4.0,260.0,3.5,100.0,"Clean restaurant, nice bathrooms, good beer, great pizza (but so sausage - sad!). The pizza crust is an excellent thin crust.  

The beer onion soup is not...",3.75,360.0
141,Brewpub,Auburn Alehouse,CA,38.89537,-121.078456,4.5,1861.0,4.0,1202.0,We ordered online and headed over to pick up our meal. The restaurant inside and out was packed with diners. The food was ready within 20 minutes. We were...,4.25,3063.0
142,Brewpub,Augustino Brewing,KS,37.695783,-97.443689,4.3,382.0,3.5,51.0,Great beer and the food is good as well. Meet Augustine the owner and brewer. Great info from him as it applies to brewing.,3.9,433.0
143,Brewpub,Aurellias Bottle Shop and Brewhouse,TX,31.883387,-106.570503,4.6,119.0,4.5,83.0,"This restaurant took extra measures to keep people safe during Covid. Self cleaning surfaces, temp checking, uv lights to disinfect, initialing after...",4.55,202.0
144,Brewpub,Austin Brothers' Beer Company,MI,45.075452,-83.434354,4.7,477.0,4.5,158.0,This team is a model for how to run a restaurant during a pandemic. Tables were wiped down as soon as patrons left. They have a QR code on the tables to...,4.6,635.0
145,Brewpub,Automatic Brewing Co Blind Lady Alehouse,CA,32.763565,-117.12032099999999,5.0,3.0,4.0,1349.0,"Blind Lady Ale House, BLAH to their friends, makes it so easy to order a pizza and pull up to a barrel out front for curbside pickup. Sure I have to put...",4.5,1352.0
146,Brewpub,Avalanche Brewing Co,CO,37.810266999999996,-107.664645,4.5,152.0,4.0,112.0,Stopped in after a day 4-wheeling and very glad we did.  Great beer and good variety on the lunch menu.  They have created outdoor dining during Covid which...,4.25,264.0
147,Brewpub,Avalon Brew Pub,NJ,39.063558,-74.747491,4.1,212.0,3.5,82.0,It's really cool that this place is the only beachfront micro brewery on the East coast -- and that we get to have our wedding here!! We were so excited to...,3.8,294.0
148,Brewpub,Avon Brewing Company,OH,41.451592,-82.035569,4.5,373.0,4.0,150.0,Last minute decision and so worth the time. Service was super friendly and the bartender was knowledgeable about the beer selection. Tasters were suggested-...,4.25,523.0
150,Brewpub,B 52 Brewing,TX,30.340685999999998,-95.550912,4.8,481.0,4.0,133.0,"Oh I wish I had taken a picture!  This place was perfect.  Outdoor setting, great new beers to taste on a monthly basis.  Enough great space for social...",4.4,614.0
152,Brewpub,B O B's Brewery,MI,42.963581,-85.672927,4.0,78.0,4.0,35.0,This is a part of The B.O.B. which has a bunch of different levels. The actual brewery area is in the basement. We came on a Friday in the late...,4.0,113.0
154,Brewpub,BBGB Brewery And Hop Farm,IL,41.809553,-88.371574,4.5,591.0,4.0,446.0,"Excellent 
Visited today/a Saturday afternoon. Hostess took temperatures at door entrance. Social distancing was spot on ,maintained. 1 use menu's even. All...",4.25,1037.0
161,Brewpub,Babe's Bar B Que and Brewhouse,CA,33.740802,-116.411028,4.3,608.0,4.0,1257.0,Glad Babe's has patio seating with tons of cooling misters! They are open during COVID for outdoor patio seating and pick up/to go orders. I first dined at...,4.15,1865.0
162,Brewpub,Back Forty Beer Company Birmingham,AL,33.522578,-86.786563,4.7,272.0,4.5,137.0,Cannot say enough positive things about this establishment. Food is great and so is the service. Especially want to commend them on their protocols during...,4.6,409.0
163,Brewpub,Back Home Brewing Company,MO,37.006114000000004,-93.205743,4.2,117.0,3.0,8.0,"The concept is good, the location could be fantastic BUT this dive bar turned micro-brewery just doesn't compare to the fresh-faced, hipster vibe one could...",3.6,125.0
164,Brewpub,Back Unturned Brewing Co,TX,29.433076,-98.48452900000001,4.8,177.0,5.0,143.0,Stumbled upon this gem while in San Antonio and looking for a place to drink good draft beer (considering most breweries are currently closed due to stupid...,4.9,320.0
165,Brewpub,Backbeat Brewing Company,MA,42.547719,-70.884564,4.7,41.0,4.5,8.0,Wow this place was something special. We loved the hard tonics. I would say they are a little sweet for some people. These are not white claw seltzer. One...,4.6,49.0
166,Brewpub,Backroom Brewery,VA,38.99534,-78.220414,4.5,162.0,4.0,86.0,"Looking for a place to park our van for the night. BRB is a Harvest Host which is a bonus, but just found out about this 7-year old brewery. We love it!...",4.25,248.0
167,Brewpub,Backshore Brewing Co,MD,38.34024,-75.08035500000001,4.4,159.0,4.0,109.0,I am so happy to see the BACKSHORE brewery survived the pandemic and is once again open for business on the Ocean City boardwalk right around 10th St. It...,4.2,268.0
168,Brewpub,Backside Brewing Co,OR,43.214708,-123.337668,4.6,150.0,4.5,51.0,Great find! Excellent beer and atmosphere! Staff is super friendly. Lots of activities to keep your interest. The wood fired pizza is one of the best! We...,4.55,201.0
169,Brewpub,Backslope Brewing,MT,48.371003,-114.19648899999999,4.7,410.0,4.5,279.0,"Fantastic meal
Good COVID precautions 
Even on a weekday their usually wait is 30-45 min 
Bulgogi bowl was nice and light (though I'd argue that real...",4.6,689.0
172,Brewpub,Backyard Brewery,NH,42.935390000000005,-71.413493,4.5,692.0,4.0,263.0,"8 minutes ago

Delicious food. Keto options. Great service. Beautiful deck atmosphere. Confortable social distancing. Nicole was awesome! A+.",4.25,955.0
173,Brewpub,Bad Lab Beer Co,NH,43.22985,-70.881588,4.5,670.0,4.0,84.0,"My husband and I enjoy visiting Bad Lab Beer. The drinks are excellent, the food is well-prepared, generous and delicious. The outdoor area is a great place...",4.25,754.0
177,Brewpub,Badger Mountain Brewing,WA,47.423759000000004,-120.308799,4.3,94.0,4.0,49.0,OMG AMAZING!!!! I visited this restaurant with a group of five and we all had amazing food. The meat was soft and flavorful the beer was excellent. The...,4.15,143.0
179,Brewpub,Bagby Beer Company,CA,33.189229,-117.37414299999999,4.5,643.0,4.0,1196.0,Drove over to Bagbys expecting to do takeout and was pleasantly surprised they were doing dine in. Before you walk in their Covid protocol is on a sign and...,4.25,1839.0
180,Brewpub,Baggs Square Brewing Co,NY,43.103315,-75.223479,4.6,59.0,4.0,5.0,"Fantastic brewery!

We came in for lunch  and a flight of beers and were very happy. It's a very cool place in Utica, NY. The decor is retro industrial. It...",4.3,64.0
